fisher 4.4.8-1
flac 1.5.0-1.2
flatpak 1:1.16.6-1.1
flex 2.6.4-6.1
fluidsynth 2.5.4-1.1
fmt 12.1.0-2.1
fontconfig 2:2.17.1-1.1
frameworkintegration 6.25.0-1.1
frameworkintegration5 5.116.0-3.1
freeglut 3.8.0-1.1
freetype2 2.14.3-1.2
fribidi 1.0.16-2.1
fsarchiver 0.8.9-1.1
ftgl 2.4.0-3.1
fuse-common 3.18.2-1.1
fuse-overlayfs 1.16-1.1
fuse3 3.18.2-1.1
fuzzel 1.14.1-1.1
fvs2 0.1.5-1
fzf 0.72.0-1.1
game-devices-udev 0.25-0.1
gamemode 1.8.2-2.1
gamescope 3.16.23-2
gawk 5.4.0-1.1
gc 8.2.12-1.1
gcc 15.2.1+r604+g0b99615a8aef-2
gcc-libs 15.2.1+r604+g0b99615a8aef-2
gcr 3.41.2-2.1
gcr-4 4.4.0.1-1.1
gdbm 1.26-2.1
gdk-pixbuf2 2.44.6-2.1
geoclue 2.8.1-1.1
gettext 1.0-2.1
ghostscript 10.07.0-1.1
giflib 6.1.3-1.1
git 2.54.0-1.1
glances 4.5.4-1
glew 2.3.1-1.1
glfw 1:3.4-1.1
glib-networking 1:2.80.1-1.1
glib2 2.88.0-1.1
glibc 2.43+r22+g8362e8ce10b2-2
glibmm 2.66.8-1.1
glm 1.0.3-1.1
glow 2.1.2-1.1
glslang 1:1.4.341.0-2.1
glu 9.0.3-3.1
glycin 2.1.1-1.1
gmp 6.3.0-3.1
gnome-keyring 1:50.0-1.1
gnulib-l10n 20241231-1
gnupg 2.4.9-1.1
gnutls 3.8.13-1
go-yq 4.53.2-1.1
gobject-introspection 1.86.0-2.1
gobject-introspection-runtime 1.86.0-2.1
gperftools 2.18.1-1.1
gpgme 2.0.1-3.1
gpgmepp 2.0.0-2.1
gpm 1.20.7.r38.ge82d1a6-6.1
graphene 1.10.8-2.1
graphite 1:1.3.14-6
grep 3.12-2.1
grim 1.5.0-2.1
groff 1.24.1-1.1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsm 1.0.24-1.1
gspell 1.14.3-1.1
gssdp 1.6.4-1.1
gssproxy 0.9.2-3.1
gst-libav 1.28.2-1
gst-plugin-pipewire 1:1.6.4-1.1
gst-plugins-bad 1.28.2-1
gst-plugins-bad-libs 1.28.2-1
gst-plugins-base 1.28.2-1
gst-plugins-base-libs 1.28.2-1
gst-plugins-ugly 1.28.2-1
gstreamer 1.28.2-1
gtest 1.17.0-2.1
gtk-layer-shell 0.10.1-1.1
gtk-update-icon-cache 1:4.22.4-1.1
gtk3 1:3.24.52-1.1
gtk4 1:4.22.4-1.1
gtkmm3 3.24.10-1.2
gtksourceview3 1:3.24.11+r30+gd880929f-1.1
gtksourceview4 4.8.4-2.1
gtksourceview5 5.20.0-1.1
gtksourceviewmm 1:3.91.1-2.1
guile 3.0.11-1.1
gupnp 1:1.6.9-1.1
gupnp-igd 1.6.0-2.1
gzip 1.14-2
harfbuzz 14.2.0-1.1
harfbuzz-icu 14.2.0-1.1
hdparm 9.65-3.1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1.1
highway 1.4.0-1.1
htmlq 0.4.0-3.1
hunspell 1.7.2-3.1
hwdata 0.406-1
hwdetect 2025.08.16.1333-1
hwinfo 25.2-1.1
hyphen 2.8.8-6.2
hyprcursor 0.1.13-6.1
hyprgraphics 0.5.1-2.1
hypridle 0.1.7-9.1
hyprland 0.54.3-4.1
hyprland-guiutils 0.2.1-5.1
hyprlang 0.6.8-4.1
hyprlock 0.9.5-2.1
hyprpicker 0.4.6-4.1
hyprshot 1.3.0-4
hyprsunset 0.3.3-7.1
hyprtoolkit 0.5.3-4.1
hyprutils 0.13.0-1.1
hyprwayland-scanner 0.4.6-1.1
hyprwire 0.3.1-2.1
i2c-tools 4.4-4.1
iana-etc 20260425-1
icoextract 0.2.0-4
icoutils 0.32.3-4.1
icu 78.3-1.1
iio-sensor-proxy 3.9-1.1
ijs 0.35-7.1
illogical-impulse-audio 1.0-3
illogical-impulse-backlight 1.0-2
illogical-impulse-basic 1.0-3
illogical-impulse-bibata-modern-classic-bin 2.0.7-1
illogical-impulse-fonts-themes 1.0-6
illogical-impulse-hyprland 1.0-5
illogical-impulse-kde 1.0-3
illogical-impulse-microtex-git r494.0e3707f-1
illogical-impulse-portal 1.0-3
illogical-impulse-python 1.1-5
illogical-impulse-quickshell-git 0.1.0.r1-7
illogical-impulse-screencapture 1.0-2
illogical-impulse-toolkit 1.0-3
illogical-impulse-widgets 1.0-7
imagemagick 7.1.2.21-1.1
imath 3.2.2-5.1
imlib2 1.12.6-1.1
inetutils 2.7-2.1
iniparser 4.2.6-2.1
inotify-tools 4.25.9.0-1.1
intel-ucode 20260227-1
inxi 3.3.40.1-1
iproute2 7.0.0-1.1
iptables 1:1.8.13-1.1
iputils 20250605-1.1
iso-codes 4.20.1-1
iw 6.17-1.1
iwd 3.12-1.1
jack 0.126.0-6
jansson 2.15.0-1.1
jasper 4.2.9-1.1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-2.1
jbigkit 2.1-8.1
jdk-openjdk 26.u35-2
jdownloader2 latest-22
jemalloc 1:5.3.1-2.1
jfsutils 1.1.15-9.1
jq 1.8.1-3.1
json-c 0.18-2.1
json-glib 1.10.8-1.1
jsoncpp 1.9.6-3.3
kaccounts-integration 26.04.0-1.1
kactivitymanagerd 6.6.4-1.2
karchive 6.25.0-1.1
karchive5 5.116.0-2.1
kate 26.04.0-1.1
kauth 6.25.0-1.1
kauth5 5.116.0-2.1
kbd 2.9.0-1.1
kbookmarks 6.25.0-1.1
kbookmarks5 5.116.0-2.1
kcmutils 6.25.0-1.1
kcmutils5 5.116.0-2.1
kcodecs 6.25.0-1.1
kcodecs5 5.116.0-2.5
kcolorscheme 6.25.0-1.1
kcompletion 6.25.0-1.1
kcompletion5 5.116.0-2.1
kconfig 6.25.0-1.1
kconfig5 5.116.0-2.1
kconfigwidgets 6.25.0-1.1
kconfigwidgets5 5.116.0-3.1
kcoreaddons 6.25.0-1.1
kcoreaddons5 5.116.0-2.1
kcrash 6.25.0-1.1
kcrash5 5.116.0-2.1
kdbusaddons 6.25.0-1.1
kdbusaddons5 5.116.0-2.1
kde-cli-tools 6.6.4-1.1
kdeclarative 6.25.0-1.1
kdeclarative5 5.116.0-2.1
kdecoration 6.6.4-1.1
kded 6.25.0-1.1
kded5 5.116.0-2.1
kdegraphics-mobipocket 26.04.0-1.1
kdegraphics-thumbnailers 26.04.0-1.1
kdesu 6.25.0-1.1
kdialog 26.04.0-1.1
kdnssd 6.25.0-1.1
kdsoap 2.3.0-1
kdsoap-ws-discovery-client 0.4.0-3.1
keyutils 1.6.3-4.1
kfilemetadata 6.25.0-1.1
kglobalaccel 6.25.0-1.1
kglobalaccel5 5.116.0-2.1
kglobalacceld 6.6.4-1.1
kguiaddons 6.25.0-1.1
kguiaddons5 5.116.0-2.1
kholidays 1:6.25.0-1.1
ki18n 6.25.0-1.1
ki18n5 5.116.0-2.1
kiconthemes 6.25.0-1.1
kiconthemes5 5.116.0-2.1
kidletime 6.25.0-1.1
kio 6.25.0-1.1
kio-extras 26.04.0-1.1
kio-fuse 5.1.1-1.1
kio5 5.116.0-6.1
kirigami 6.25.0-1.1
kirigami-addons 1.12.0-1.1
kirigami2 5.116.0-2.1
kitemmodels 6.25.0-1.1
kitemviews 6.25.0-1.1
kitemviews5 5.116.0-2.1
kitty 0.46.2-1.2
kitty-shell-integration 0.46.2-1.2
kitty-terminfo 0.46.2-1.2
kjobwidgets 6.25.0-1.1
kjobwidgets5 5.116.0-2.1
kmod 34.2-1
knewstuff 6.25.0-1.1
knighttime 6.6.4-1.1
knotifications 6.25.0-1.1
knotifications5 5.116.0-3.1
knotifyconfig 6.25.0-1.1
konsole 26.04.0-1.1
kpackage 6.25.0-1.1
kpackage5 5.116.0-3.1
kparts 6.25.0-1.1
kpipewire 6.6.4-1.1
kpty 6.25.0-1.2
kquickcharts 6.25.0-1.1
krb5 1.21.3-2.1
krunner 6.25.0-1.1
kscreenlocker 6.6.4-1.1
kservice 6.25.0-1.1
kservice5 5.116.0-3.1
kstatusnotifieritem 6.25.0-1.1
ksvg 6.25.0-1.1
ksystemstats 6.6.4-1
ktexteditor 6.25.0-1.1
ktextwidgets 6.25.0-1.1
ktextwidgets5 5.116.0-2.1
kuserfeedback 6.25.0-1.1
kvantum 1.1.6-1.1
kwallet 6.25.0-1.1
kwallet5 5.116.0-6.1
kwayland 6.6.4-1.1
kwidgetsaddons 6.25.0-1.1
kwidgetsaddons5 5.116.0-2.1
kwin 6.6.4-1.1
kwindowsystem 6.25.0-1.1
kwindowsystem5 5.116.0-2.2
kxmlgui 6.25.0-1.1
kxmlgui5 5.116.0-2.1
l-smash 2.14.5-4.1
lame 3.101.r6531-1.1
lapack 3.12.1-2.1
layer-shell-qt 6.6.4-1.1
lcms2 2.19-1.1
ldb 2:4.24.1-1.1
leancrypto 1.7.2-1.1
leptonica 1.87.0-1.1
less 1:692-1.1
lib32-acl 2.3.2-2
lib32-alsa-lib 1.2.15.3-1
lib32-alsa-plugins 1.2.12-1
lib32-at-spi2-core 2.60.2-1
lib32-attr 2.5.2-2
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-cairo 1.18.4-1
lib32-colord 1.4.8-1
lib32-curl 8.20.0-3
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.8.0-1
lib32-flac 1.5.0-1
lib32-fontconfig 2:2.17.1-1
lib32-freetype2 2.14.3-1
lib32-fribidi 1.0.16-2
lib32-gamemode 1.8.2-1
lib32-gcc-libs 15.2.1+r604+g0b99615a8aef-2
lib32-gdk-pixbuf2 2.44.6-2
lib32-gettext 1.0-1
lib32-giflib 5.2.2-1
lib32-glew 2.3.0-2
lib32-glib2 2.88.0-1
lib32-glibc 2.43+r22+g8362e8ce10b2-2
lib32-glu 9.0.3-2
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.13-1
lib32-gtk3 1:3.24.52-1
lib32-harfbuzz 14.2.0-1
lib32-icu 78.3-1
lib32-json-c 0.18-2
